noise_db,noise_label,take_n,total_raw,total_valid,invalid_count,total_after_take,nonzero_bundle_count_pred,total_bit_errors_pred,total_bits_pred,group_ber_pred,first_valid_bundle_name,worst_bundle_name,worst_bundle_ber_pred,first_nonzero_bundle_name,first_nonzero_bundle_orig_index,first_nonzero_bundle_bit_errors_pred,first_nonzero_bundle_bits,first_nonzero_bundle_ber_pred
-10.000000,minus10dB,1500,1650,1650,0,1500,0,0,14220000,0.000000000000e+00,f0125_s01_idx012501_rnti1234_harq02_rv0,f0125_s01_idx012501_rnti1234_harq02_rv0,0.000000000000e+00,,,,,
-8.000000,minus8dB,1500,1633,1633,0,1500,0,0,14220000,0.000000000000e+00,f0125_s01_idx012501_rnti1234_harq02_rv0,f0125_s01_idx012501_rnti1234_harq02_rv0,0.000000000000e+00,,,,,
-6.000000,minus6dB,1500,1630,1630,0,1500,0,0,14220000,0.000000000000e+00,f0125_s01_idx012501_rnti1234_harq02_rv0,f0125_s01_idx012501_rnti1234_harq02_rv0,0.000000000000e+00,,,,,
-5.000000,minus5dB,1500,1631,1631,0,1500,0,0,14220000,0.000000000000e+00,f0135_s01_idx013501_rnti1234_harq08_rv0,f0135_s01_idx013501_rnti1234_harq08_rv0,0.000000000000e+00,,,,,
-4.700000,minus4.7dB,1500,1609,1609,0,1500,0,0,14220000,0.000000000000e+00,f0127_s01_idx012701_rnti1234_harq03_rv0,f0127_s01_idx012701_rnti1234_harq03_rv0,0.000000000000e+00,,,,,
-4.680000,minus4.68dB,1500,1582,1582,0,1500,2,9194,14220000,6.465541490858e-04,f0135_s01_idx013501_rnti1234_harq08_rv0,f0612_s01_idx061201_rnti1234_harq15_rv2,4.870253164557e-01,f0224_s01_idx022401_rnti1234_harq08_rv2,178,4577,9480,4.828059071730e-01
-4.650000,minus4.65dB,1500,1588,1588,0,1500,3,13840,14220000,9.732770745429e-04,f0129_s01_idx012901_rnti1234_harq04_rv0,f0853_s11_idx085311_rnti1234_harq09_rv2,4.894514767932e-01,f0683_s01_idx068301_rnti1234_harq06_rv2,1108,4621,9480,4.874472573840e-01
-4.600000,minus4.6dB,1500,1582,1582,0,1500,3,13711,14220000,9.642053445851e-04,f0133_s01_idx013301_rnti1234_harq08_rv0,f0291_s01_idx029101_rnti1234_harq02_rv2,4.890295358650e-01,f0291_s01_idx029101_rnti1234_harq02_rv2,316,4636,9480,4.890295358650e-01
-4.500000,minus4.5dB,1500,1618,1618,0,1500,6,27575,14220000,1.939170182841e-03,f0127_s01_idx012701_rnti1234_harq03_rv0,f0247_s01_idx024701_rnti1234_harq00_rv2,4.911392405063e-01,f0208_s01_idx020801_rnti1234_harq03_rv2,162,4582,9480,4.833333333333e-01
-4.300000,minus4.3dB,1500,1599,1599,0,1500,22,101077,14220000,7.108087201125e-03,f0133_s01_idx013301_rnti1234_harq08_rv0,f0621_s11_idx062111_rnti1234_harq08_rv2,4.931434599156e-01,f0157_s11_idx015711_rnti1234_harq07_rv2,49,4619,9480,4.872362869198e-01
-4.000000,minus4dB,1500,1643,1643,0,1500,101,464524,14220000,3.266694796062e-02,f0133_s01_idx013301_rnti1234_harq08_rv0,f0254_s01_idx025401_rnti1234_harq05_rv2,4.944092827004e-01,f0133_s11_idx013311_rnti1234_harq07_rv2,1,4508,9480,4.755274261603e-01
-3.500000,minus3.5dB,1500,1572,1572,0,1500,374,1718006,14220000,1.208161744023e-01,f0135_s01_idx013501_rnti1234_harq06_rv0,f0774_s01_idx077401_rnti1234_harq13_rv2,5.012658227848e-01,f0137_s01_idx013701_rnti1234_harq07_rv2,4,4508,9480,4.755274261603e-01
-3.000000,minus3dB,1500,1572,1572,0,1500,635,2918895,14220000,2.052668776371e-01,f0125_s01_idx012501_rnti1234_harq14_rv3,f0232_s01_idx023201_rnti1234_harq02_rv2,4.981012658228e-01,f0125_s11_idx012511_rnti1234_harq15_rv2,1,4692,9480,4.949367088608e-01
-2.000000,minus2dB,1500,1562,1562,0,1500,741,3405282,14220000,2.394713080169e-01,f0127_s01_idx012701_rnti1234_harq15_rv3,f0291_s11_idx029111_rnti1234_harq04_rv2,4.981012658228e-01,f0127_s11_idx012711_rnti1234_harq14_rv1,1,4620,9480,4.873417721519e-01
-1.000000,minus1dB,1500,1583,1583,0,1500,750,3446090,14220000,2.423410689170e-01,f0133_s01_idx013301_rnti1234_harq03_rv0,f0297_s11_idx029711_rnti1234_harq04_rv2,4.981012658228e-01,f0133_s11_idx013311_rnti1234_harq02_rv2,1,4595,9480,4.847046413502e-01
0.000000,0dB,1500,1592,1592,0,1500,747,3433083,14220000,2.414263713080e-01,f0121_s01_idx012101_rnti1234_harq13_rv0,f0295_s11_idx029511_rnti1234_harq04_rv2,4.981012658228e-01,f0121_s11_idx012111_rnti1234_harq12_rv2,1,4611,9480,4.863924050633e-01
2.000000,2dB,1500,1559,1559,0,1500,750,3446142,14220000,2.423447257384e-01,f0135_s01_idx013501_rnti1234_harq03_rv3,f0297_s11_idx029711_rnti1234_harq04_rv2,4.981012658228e-01,f0135_s11_idx013511_rnti1234_harq02_rv1,1,4595,9480,4.847046413502e-01
