noise_db_from_name,noise_label,noise_power_db_from_file,snr_top10_db,used_windows,snr_summary_path
-10.000000,minus10dB,-10.000000,34.397277000000,8,/home/richard93513/SpikingRx-on-OAI/spx_records/snapshots_snr/bundle_noise_power_minus10dB/snr_top10_run_summary.txt
-8.000000,minus8dB,-8.000000,28.815312000000,8,/home/richard93513/SpikingRx-on-OAI/spx_records/snapshots_snr/bundle_noise_power_minus8dB/snr_top10_run_summary.txt
-6.000000,minus6dB,-6.000000,23.763260000000,8,/home/richard93513/SpikingRx-on-OAI/spx_records/snapshots_snr/bundle_noise_power_minus6dB/snr_top10_run_summary.txt
-5.000000,minus5dB,-5.000000,27.276879000000,8,/home/richard93513/SpikingRx-on-OAI/spx_records/snapshots_snr/bundle_noise_power_minus5dB/snr_top10_run_summary.txt
-4.700000,minus4.7dB,-4.700000,22.171492000000,8,/home/richard93513/SpikingRx-on-OAI/spx_records/snapshots_snr/bundle_noise_power_minus4.7dB/snr_top10_run_summary.txt
-4.680000,minus4.68dB,-4.680000,21.919578000000,8,/home/richard93513/SpikingRx-on-OAI/spx_records/snapshots_snr/bundle_noise_power_minus4.68dB/snr_top10_run_summary.txt
-4.650000,minus4.65dB,-4.650000,21.352321000000,8,/home/richard93513/SpikingRx-on-OAI/spx_records/snapshots_snr/bundle_noise_power_minus4.65dB/snr_top10_run_summary.txt
-4.600000,minus4.6dB,-4.600000,21.670561000000,8,/home/richard93513/SpikingRx-on-OAI/spx_records/snapshots_snr/bundle_noise_power_minus4.6dB/snr_top10_run_summary.txt
-4.500000,minus4.5dB,-4.500000,21.895025000000,8,/home/richard93513/SpikingRx-on-OAI/spx_records/snapshots_snr/bundle_noise_power_minus4.5dB/snr_top10_run_summary.txt
-4.300000,minus4.3dB,-4.300000,20.865081000000,8,/home/richard93513/SpikingRx-on-OAI/spx_records/snapshots_snr/bundle_noise_power_minus4.3dB/snr_top10_run_summary.txt
-4.000000,minus4dB,-4.000000,21.114638000000,8,/home/richard93513/SpikingRx-on-OAI/spx_records/snapshots_snr/bundle_noise_power_minus4dB/snr_top10_run_summary.txt
-3.500000,minus3.5dB,-3.500000,20.272780000000,8,/home/richard93513/SpikingRx-on-OAI/spx_records/snapshots_snr/bundle_noise_power_minus3.5dB/snr_top10_run_summary.txt
-3.000000,minus3dB,-3.000000,18.560036000000,8,/home/richard93513/SpikingRx-on-OAI/spx_records/snapshots_snr/bundle_noise_power_minus3dB/snr_top10_run_summary.txt
-2.000000,minus2dB,-2.000000,16.993704000000,8,/home/richard93513/SpikingRx-on-OAI/spx_records/snapshots_snr/bundle_noise_power_minus2dB/snr_top10_run_summary.txt
-1.000000,minus1dB,-1.000000,14.696928000000,8,/home/richard93513/SpikingRx-on-OAI/spx_records/snapshots_snr/bundle_noise_power_minus1dB/snr_top10_run_summary.txt
0.000000,0dB,0.000000,12.156710000000,8,/home/richard93513/SpikingRx-on-OAI/spx_records/snapshots_snr/bundle_noise_power_0dB/snr_top10_run_summary.txt
2.000000,2dB,2.000000,8.811012000000,8,/home/richard93513/SpikingRx-on-OAI/spx_records/snapshots_snr/bundle_noise_power_2dB/snr_top10_run_summary.txt
