noise_db,noise_label,snr_top10_db,take_n,selected_bundle_count,oai_ok_bundle_count,oai_fail_bundle_count,nonzero_bundle_count_oai,total_bit_errors_oai,total_bits_oai,group_ber_oai,worst_bundle_name,worst_bundle_ber_oai,first_nonzero_bundle_name,first_nonzero_bundle_bit_errors_oai,first_nonzero_bundle_bits,first_nonzero_bundle_ber_oai
-10.0,minus10dB,34.397277,1500,1500,1500,0,0,0,14220000,0.0,f0125_s01_idx012501_rnti1234_harq02_rv0,0.0,,,,
-8.0,minus8dB,28.815312,1500,1500,1500,0,0,0,14220000,0.0,f0125_s01_idx012501_rnti1234_harq02_rv0,0.0,,,,
-6.0,minus6dB,23.76326,1500,1500,1500,0,0,0,14220000,0.0,f0125_s01_idx012501_rnti1234_harq02_rv0,0.0,,,,
-5.0,minus5dB,27.276879,1500,1500,1500,0,0,0,14220000,0.0,f0135_s01_idx013501_rnti1234_harq08_rv0,0.0,,,,
-4.7,minus4.7dB,22.171492,1500,1500,1500,0,0,0,14220000,0.0,f0127_s01_idx012701_rnti1234_harq03_rv0,0.0,,,,
-4.68,minus4.68dB,21.919578,1500,1500,1500,0,2,9194,14220000,0.0006465541490857946,f0612_s01_idx061201_rnti1234_harq15_rv2,0.4870253164556962,f0224_s01_idx022401_rnti1234_harq08_rv2,4577,9480,0.48280590717299576
-4.65,minus4.65dB,21.352321,1500,1500,1500,0,3,13840,14220000,0.0009732770745428973,f0853_s11_idx085311_rnti1234_harq09_rv2,0.48945147679324896,f0683_s01_idx068301_rnti1234_harq06_rv2,4621,9480,0.48744725738396627
-4.6,minus4.6dB,21.670561,1500,1500,1500,0,3,13711,14220000,0.0009642053445850915,f0291_s01_idx029101_rnti1234_harq02_rv2,0.4890295358649789,f0291_s01_idx029101_rnti1234_harq02_rv2,4636,9480,0.4890295358649789
-4.5,minus4.5dB,21.895025,1500,1500,1500,0,6,27575,14220000,0.001939170182841069,f0247_s01_idx024701_rnti1234_harq00_rv2,0.4911392405063291,f0208_s01_idx020801_rnti1234_harq03_rv2,4582,9480,0.48333333333333334
-4.3,minus4.3dB,20.865081,1500,1500,1500,0,22,101077,14220000,0.0071080872011251755,f0621_s11_idx062111_rnti1234_harq08_rv2,0.4931434599156118,f0157_s11_idx015711_rnti1234_harq07_rv2,4619,9480,0.48723628691983123
-4.0,minus4dB,21.114638,1500,1500,1500,0,101,464524,14220000,0.03266694796061885,f0254_s01_idx025401_rnti1234_harq05_rv2,0.49440928270042195,f0133_s11_idx013311_rnti1234_harq07_rv2,4508,9480,0.47552742616033755
-3.5,minus3.5dB,20.27278,1500,1500,1500,0,374,1718006,14220000,0.12081617440225036,f0774_s01_idx077401_rnti1234_harq13_rv2,0.5012658227848101,f0137_s01_idx013701_rnti1234_harq07_rv2,4508,9480,0.47552742616033755
-3.0,minus3dB,18.560036,1500,1500,1500,0,635,2918895,14220000,0.2052668776371308,f0232_s01_idx023201_rnti1234_harq02_rv2,0.4981012658227848,f0125_s11_idx012511_rnti1234_harq15_rv2,4692,9480,0.49493670886075947
-2.0,minus2dB,16.993704,1500,1500,1500,0,741,3405282,14220000,0.23947130801687763,f0291_s11_idx029111_rnti1234_harq04_rv2,0.4981012658227848,f0127_s11_idx012711_rnti1234_harq14_rv1,4620,9480,0.4873417721518987
-1.0,minus1dB,14.696928,1500,1500,1500,0,750,3446090,14220000,0.2423410689170183,f0297_s11_idx029711_rnti1234_harq04_rv2,0.4981012658227848,f0133_s11_idx013311_rnti1234_harq02_rv2,4595,9480,0.48470464135021096
0.0,0dB,12.15671,1500,1500,1500,0,747,3433083,14220000,0.2414263713080169,f0295_s11_idx029511_rnti1234_harq04_rv2,0.4981012658227848,f0121_s11_idx012111_rnti1234_harq12_rv2,4611,9480,0.4863924050632911
2.0,2dB,8.811012,1500,1500,1500,0,750,3446142,14220000,0.24234472573839663,f0297_s11_idx029711_rnti1234_harq04_rv2,0.4981012658227848,f0135_s11_idx013511_rnti1234_harq02_rv1,4595,9480,0.48470464135021096
